review_id,business_id,user_id,stars,blob_polarity,review,complaint,compliments,neutral,suggestion for user,suggestion for business
_bylb8oukX2XcugqZtlt7A,XWLtYPhCpHht5Zn52zp3-Q,ayS6TC6b2C3IASq-kzYy0Q,4,0.05,"we stopped by today to check out the current exhibit, impressionist to modernist: masterworks of early photography",0,1,0,0,0
_bylb8oukX2XcugqZtlt7A,XWLtYPhCpHht5Zn52zp3-Q,ayS6TC6b2C3IASq-kzYy0Q,4,0.5,"upon entering we were greeted by a nice employee who gave us a lot of helpful information about the exhibit, and others available to us",0,1,0,0,0
_bylb8oukX2XcugqZtlt7A,XWLtYPhCpHht5Zn52zp3-Q,ayS6TC6b2C3IASq-kzYy0Q,4,0.25,i was pleasantly surprised that the art museum portion was free,0,1,0,0,0
_bylb8oukX2XcugqZtlt7A,XWLtYPhCpHht5Zn52zp3-Q,ayS6TC6b2C3IASq-kzYy0Q,4,0.077777778,"it isn't too big, we did everything in less than an hour, but still took our time to read a lot of the info and enjoy ourselves",0,1,0,0,0
_bylb8oukX2XcugqZtlt7A,XWLtYPhCpHht5Zn52zp3-Q,ayS6TC6b2C3IASq-kzYy0Q,4,0.343333333,"it was my first time visiting and i found it go be a very nice way to spend an afternoon, especially on a budget",0,1,0,0,0
pno_4ajtAqPXLn06pCKhtw,5GS5sBSscgcex0IFTDL9Bg,YmWKwZfvewiz8tNviUQvGg,5,-0.1,under the wire all season except they were expected to be 1-3 with ben benched for 4 games,0,0,1,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,-0.3,a big fat disappointment,1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0,"i am concerned with the future of port authority, will pittsburgh continue to have bus service as we know it?",1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0.4,port authority constantly causes me a great deal of anxiety,1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,-0.05,i have been riding the bus for as long as i can remember,0,0,1,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0,we never had a car in my family,0,0,1,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0,now i am starting to feel like i've taken the bus for granted,1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0,i have a license but i choose not to drive,0,0,1,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0.3125,because i work downtown and the cost of renting a parking space downtown is high!!!,1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0.0375,"anyway port authority to sum it up, is a hot damn mess",1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0,how could i have forgotten?,1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,-0.65,"i have been shut in bus doors by ignorant, rude, nasty bus drivers twice!!!",1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,0.25,"and when it happen the first time, the bus drive wouldn't even apologize to me,",1,0,0,0,0
vW-MiMv1kdkH3UKWl5sKlg,1n0n_-Iz0e3iVpH8sereiA,So32N7bSbUd1RwhFtI6jTQ,2,-0.28994709,"the bus drivers are a miserable bunch, just down right rotten,",1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,the only pro about port authority is it gets you from point a to point b,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,i've had buses that smell like pee,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,i've had buses where the bus drivers are yelling at drivers or people downtown,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,screaming insults out the window,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,-0.155555556,had a bus driver doing like 70mph down mcknight road,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,-0.3,at least twice a week i get a bus that's farebox is broke,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0.116666667,yeah a free ride is nice but port authority is always crying wanting to increase their already ridiculous fare prices,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,routes are always getting cut which leaves buses jam packed,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,they introduce the connect card (an alternative to cash and passes,0,0,1,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,if i load $20,0,0,1,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0.5,00 onto the card i should be able to get a transfer without entering cash the drivers don't know that and argue about it,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0.4,feel free to train your employees,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0.35,on an 80 degree day one buses heat was on full blast,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,not the drivers fault,0,0,1,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,he finally pulled over restarted the bus and it read 98 degrees before the air worked,0,0,1,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,-0.3,buses are late all the time,1,0,0,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,-0.3,"when going to work i need to leave at least an hour before i should have to, to ensure i get to work on time",0,0,1,0,0
Zx3G_M_QKQj0mtiQJkD9Xw,1n0n_-Iz0e3iVpH8sereiA,dENoFJQbXqeyRmoHLogVzw,1,0,i can go on forever,1,0,0,0,0
lM0qr-867H5Sa_eVORrMqQ,AehuBK7aJZM76mAmQ7KL2w,Wx4vLvm5hiciCC07m_5TjQ,5,0,i visited this gallery during a pa trip in august and forgot to add my inaugural visit's review,0,0,1,0,0
lM0qr-867H5Sa_eVORrMqQ,AehuBK7aJZM76mAmQ7KL2w,Wx4vLvm5hiciCC07m_5TjQ,5,0.5,why add it now? more people need to know about this gallery,0,1,0,0,0
