,review_id,business_id,user_id,stars,blob_polarity,review,label
116525,o-UwOwb6BHJxKf3yOWQ5IQ,cE16HnvfgpTAk2GW3mF4Aw,XHgxeE6lCfIWl8mFqKz_MA,2,0.083333333,"i did buy a t-shirt there for only $15, which is a decent price for vegas",
116526,o-UwOwb6BHJxKf3yOWQ5IQ,cE16HnvfgpTAk2GW3mF4Aw,XHgxeE6lCfIWl8mFqKz_MA,2,0,"my niece, who went with me, wanted a key chain with the letter ""c"" and of course there were none",
116527,o-UwOwb6BHJxKf3yOWQ5IQ,cE16HnvfgpTAk2GW3mF4Aw,XHgxeE6lCfIWl8mFqKz_MA,2,-0.166666667,"i even asked, but go the typical ""if it's not on the shelf, we don't have anymore ",
116528,o-UwOwb6BHJxKf3yOWQ5IQ,cE16HnvfgpTAk2GW3mF4Aw,XHgxeE6lCfIWl8mFqKz_MA,2,-0.25,"""  needless to say, i've had my one and only madame tussauds experience :/",
116529,IXRBfvP_jyCLMTV_AjM3kg,cE16HnvfgpTAk2GW3mF4Aw,HsWInGyQU1Djq_cC0BzsCA,5,0,i almost didn't do this and that would have been a mistake,
116530,IXRBfvP_jyCLMTV_AjM3kg,cE16HnvfgpTAk2GW3mF4Aw,HsWInGyQU1Djq_cC0BzsCA,5,0.0425,we went early so we could take our time and goof around taking photos a little more leisurely and the roll of silly photos we got made it worth the price alone,
116531,IXRBfvP_jyCLMTV_AjM3kg,cE16HnvfgpTAk2GW3mF4Aw,HsWInGyQU1Djq_cC0BzsCA,5,0.25,the part that took the overall experiential value over the top was the marvel 4d performance and figures at the end,
116532,IXRBfvP_jyCLMTV_AjM3kg,cE16HnvfgpTAk2GW3mF4Aw,HsWInGyQU1Djq_cC0BzsCA,5,0.511111111,that could have easily been more money or it's own thing,
116533,IXRBfvP_jyCLMTV_AjM3kg,cE16HnvfgpTAk2GW3mF4Aw,HsWInGyQU1Djq_cC0BzsCA,5,0.25,really felt like we got our money's worth,
116534,nJUK9sSVFl5PXwF3cF4Jrw,cE16HnvfgpTAk2GW3mF4Aw,TryN9XuH4cjReCLwKwW1Fg,5,0.5875,so much fun! i had a great time in there,
116535,nJUK9sSVFl5PXwF3cF4Jrw,cE16HnvfgpTAk2GW3mF4Aw,TryN9XuH4cjReCLwKwW1Fg,5,0.7,i loved the fact that you could touch the wax figures and use accessories to glam up the pictures you took,
116536,nJUK9sSVFl5PXwF3cF4Jrw,cE16HnvfgpTAk2GW3mF4Aw,TryN9XuH4cjReCLwKwW1Fg,5,0.375,worth the visit!,
116537,svZEefeCPPiW2Dso1k_yvQ,cE16HnvfgpTAk2GW3mF4Aw,HtKDIcnUK9FKWmJjrT65-g,2,0,i went specifically to see the sandra bullock figure and it was not there,
116538,svZEefeCPPiW2Dso1k_yvQ,cE16HnvfgpTAk2GW3mF4Aw,HtKDIcnUK9FKWmJjrT65-g,2,-0.78,very disappointing,
116539,svZEefeCPPiW2Dso1k_yvQ,cE16HnvfgpTAk2GW3mF4Aw,HtKDIcnUK9FKWmJjrT65-g,2,-0.5,some  of the figures were so life like it was creepy,
116540,svZEefeCPPiW2Dso1k_yvQ,cE16HnvfgpTAk2GW3mF4Aw,HtKDIcnUK9FKWmJjrT65-g,2,0,"if i would have known the bullock figure would not be there,  i would not have gone",
116541,#NAME?,cE16HnvfgpTAk2GW3mF4Aw,e_PpDuxJJ22R5vpjOACfPQ,5,0.0725,this is a pretty neat little place i've never been to a wax museum do you mean had a little movie to watch and 40 i would recommend taking your kids here and then after that you going to gamble inside the venetian casino plenty a picture opportunities and a great gift shop,
116542,TYnpK915pU3bbYdy6bJS0g,cE16HnvfgpTAk2GW3mF4Aw,cwbFEYjoOeReKpXomkSVMw,4,0.45625,love the place! one can actually take pictures with the wax figures! one of good vegas attraction finds for everyone to enjoy!,
116543,7bbsmNo1LB4OzkBZvDzeZA,cE16HnvfgpTAk2GW3mF4Aw,hzwf2Q84MxRn1TrBzAp8UQ,3,0,"it wasn't my thing, but my kids got a kick out of it",
116544,7bbsmNo1LB4OzkBZvDzeZA,cE16HnvfgpTAk2GW3mF4Aw,hzwf2Q84MxRn1TrBzAp8UQ,3,-0.166666667,"some of the choices were odd: lindsay lohan, no marilyn monroe with the rat pack",
116545,7bbsmNo1LB4OzkBZvDzeZA,cE16HnvfgpTAk2GW3mF4Aw,hzwf2Q84MxRn1TrBzAp8UQ,3,0,the marvel superhero hall had only had 3 heroes,
116546,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,-0.025568182,it's a place with real-looking wax figures and it has a little 4d marvel avengers at the end (with the inclusion with a new avenger that was from sony,
116547,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0,i guess they predicted it would happen),
116548,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0.425,"if you like taking funny poses with figures that are set for for that kind of thing, go for it",
116549,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,-0.125,there are also set ups for singing karaoke in the music area and other things to do at other set pieces,
116550,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0.15,"if you're gonna just take normal pics with these figures, beware of boredom",
116551,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0,or not,
116552,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0,btw it cost $29,
116553,ZogUXolwX_NYx4yvzQKBOg,cE16HnvfgpTAk2GW3mF4Aw,jOzEwSWUS2rCCxEgh_jgVw,3,0,99 per person and it took us about an hour or so to walk and take pics on the way,
116554,eXi6hby1PHjMIIySYkdMPQ,cE16HnvfgpTAk2GW3mF4Aw,zQxeczIP5qmPRT3Jzss18Q,4,0.066666667,"we were gifted two tickets to madame tussauds, and didn't think much of visiting a ""cheesy"" wax museum",
116555,eXi6hby1PHjMIIySYkdMPQ,cE16HnvfgpTAk2GW3mF4Aw,zQxeczIP5qmPRT3Jzss18Q,4,0,then we found ourselves with some extra time on our last day in vegas and decided to check it out,
116556,eXi6hby1PHjMIIySYkdMPQ,cE16HnvfgpTAk2GW3mF4Aw,zQxeczIP5qmPRT3Jzss18Q,4,0.3,this ended up being a lot of fun for us,
116557,eXi6hby1PHjMIIySYkdMPQ,cE16HnvfgpTAk2GW3mF4Aw,zQxeczIP5qmPRT3Jzss18Q,4,0,we were amazed at how life-like the wax figures were,
116558,eXi6hby1PHjMIIySYkdMPQ,cE16HnvfgpTAk2GW3mF4Aw,zQxeczIP5qmPRT3Jzss18Q,4,0,and some of them looked just like their human!,
