,Unnamed: 0,review_id,business_id,user_id,stars,blob_polarity,review,stem_review,complaint,compliments,suggestion for user,suggestion for business
0,269003,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.7,loved it,love it,0,1,0,0
1,269004,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.7,i laughed at myself on the video time and time again,i laugh at myself on the video time and time again,0,1,0,0
2,269005,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.7,i showed said video to friends -- they laughed,i show said video to friend -- they laugh,0,1,0,0
3,269006,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,-0.6,they still think i'm crazy,they still think i'm crazi,0,1,0,0
4,269007,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,1.0,"truth be told, this is some of the best customer service i've had in awhile","truth be told, thi is some of the best custom servic i'v had in awhil",0,1,0,0
5,269008,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.333333333,any hesitations i had were quickly set aside with the humor and kindness the staff showed,ani hesit i had were quickli set asid with the humor and kind the staff show,0,1,0,0
6,269009,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,-0.25,we even had a small glitch with pricing as i was initially charged the wrong amount,we even had a small glitch with price as i wa initi charg the wrong amount,0,1,0,0
7,269010,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.166666667,it was quickly taken care of and everyone was all smiles the entire time,it wa quickli taken care of and everyon wa all smile the entir time,0,1,0,0
8,269011,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.166666667,i scheduled a time in person at the main counter,i schedul a time in person at the main counter,0,1,1,1
9,269012,Pec_CKbPOo7g4QB61GcEzg,utSuiRS-hZnmHoPHdjw6dA,LISp8sR4mS5DLxQ6HRTUQA,5,0.0,you aren't charged to hold the reservation - just when you check in to to jump,you aren't charg to hold the reserv - just when you check in to to jump,0,1,1,0
