,Unnamed: 0,review_id,business_id,user_id,stars,blob_polarity,review,stem_review,complaint,compliments,suggestion for user,suggestion for business
0,275002,nxr1wwjLnjEVHhu8O8uaBw,ovd7_Dr8y_Q-H1_LxXDi_g,#NAME?,4,-0.1,any longer and my bank account would be empty,ani longer and my bank account would be empti,1,1,0,0
1,275003,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.7,"the kids had a good time, i had a good time","the kid had a good time, i had a good time",0,1,0,0
2,275004,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.0,there are food options at the lodge to where you don't have to leave while you are there,there are food option at the lodg to where you don't have to leav while you are there,1,1,1,0
3,275005,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.0,my family opted to eat out because it was cheaper,my famili opt to eat out becaus it wa cheaper,1,1,0,0
4,275006,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,-0.1,my only complaint is that there isn't enough handicap parking,my onli complaint is that there isn't enough handicap park,1,1,0,0
5,275007,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.233333333,with my mom being disabled that was a huge problem not being able to park and then unload her wheelchair,with my mom be disabl that wa a huge problem not be abl to park and then unload her wheelchair,1,1,0,0
6,275008,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.0,we would have to unload her at the entrance then go drive around for regular parking,we would have to unload her at the entranc then go drive around for regular park,1,1,0,1
7,275009,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.0,while the rooms are quite pricey i would return,while the room are quit pricey i would return,1,1,0,0
8,275010,q3RnzkvzIvP1ltnugW_KBw,ovd7_Dr8y_Q-H1_LxXDi_g,7_IZ1n-2Iest0GzLaUm3kw,4,0.3,it's well worth it if you can find someone else to go with to split the cost,it' well worth it if you can find someon els to go with to split the cost,1,1,0,0
9,275011,wxt_yF0BeP1XOTCrlzTc2w,ovd7_Dr8y_Q-H1_LxXDi_g,tQv7vqVh6ooBD8FQ7q-McQ,5,0.0,my family stayed here for 2 nights with water park passes,my famili stay here for 2 night with water park pass,1,1,0,0
10,275012,wxt_yF0BeP1XOTCrlzTc2w,ovd7_Dr8y_Q-H1_LxXDi_g,tQv7vqVh6ooBD8FQ7q-McQ,5,0.21666666699999998,"my kids are 4, 2 years old, and me at 31weeks pregnant","my kid are 4, 2 year old, and me at 31week pregnant",0,1,0,0
