Label,Classifier,Accuracy_Baseline,Accuracy,Precision,AUC,Runtime (secs),Runtime (minutes)
complaint,"SGDClassifier(alpha=0.0001, average=False, class_weight=None, epsilon=0.1,
       eta0=0.0, fit_intercept=True, l1_ratio=0.15,
       learning_rate='optimal', loss='log', n_iter=5, n_jobs=1,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       verbose=0, warm_start=False)",0.725211,0.640661,0.547249,0.547249,40.634307,0.677238
complaint,"SGDClassifier(alpha=0.0001, average=False, class_weight=None, epsilon=0.1,
       eta0=0.0, fit_intercept=True, l1_ratio=0.15,
       learning_rate='optimal', loss='perceptron', n_iter=5, n_jobs=1,
       penalty='elasticnet', power_t=0.5, random_state=None, shuffle=True,
       verbose=0, warm_start=False)",0.725211,0.632206,0.554015,0.554015,118.938303,1.982305
complaint,"SGDClassifier(alpha=0.0001, average=False, class_weight=None, epsilon=0.1,
       eta0=0.0, fit_intercept=True, l1_ratio=0.15,
       learning_rate='optimal', loss='perceptron', n_iter=5, n_jobs=1,
       penalty='l1', power_t=0.5, random_state=None, shuffle=True,
       verbose=0, warm_start=False)",0.725211,0.736741,0.580699,0.580699,72.830889,1.213848
complaint,"SGDClassifier(alpha=0.0001, average=False, class_weight=None, epsilon=0.1,
       eta0=0.0, fit_intercept=True, l1_ratio=0.15,
       learning_rate='optimal', loss='perceptron', n_iter=5, n_jobs=1,
       penalty='l2', power_t=0.5, random_state=None, shuffle=True,
       verbose=0, warm_start=False)",0.725211,0.658148,0.548012,0.548012,40.691918,0.678199
compliments,"BernoulliNB(alpha=0.0001, binarize=0.0, class_prior=None, fit_prior=True)",0.578593,0.702537,0.700637,0.700637,75.786443,1.263107
compliments,"BernoulliNB(alpha=0.01, binarize=0.0, class_prior=None, fit_prior=True)",0.578593,0.709070,0.712787,0.712787,76.742108,1.279035
compliments,"BernoulliNB(alpha=1, binarize=0.0, class_prior=None, fit_prior=True)",0.578593,0.664105,0.610193,0.610193,76.496955,1.274949
compliments,"BernoulliNB(alpha=2, binarize=0.0, class_prior=None, fit_prior=True)",0.578593,0.591084,0.515935,0.515935,76.205361,1.270089
compliments,GaussianNB(),0.578593,0.692736,0.704618,0.704618,89.989004,1.499817
compliments,"LinearSVC(C=0.0001, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l1', random_state=0, tol=0.0001,
     verbose=0)",0.578593,0.578593,0.500248,0.500248,19.992600,0.333210
compliments,"LinearSVC(C=0.0001, class_weight=None, dual=False, fit_intercept=True,
     intercept_scaling=1, loss='squared_hinge', max_iter=1000,
     multi_class='ovr', penalty='l2', random_state=0, tol=0.0001,
     verbose=0)",0.578593,0.701384,0.693942,0.693942,19.978297,0.332972
